WAD file    : jagdoom.wad
numlumps    : 1855
infotableofs: 3238548

lump name       size  filepos    0xsize   0xfpos
---- -------- ------ --------    ------ ----------
   0   POL5A0    560       12    0x0230 0x0000000C
   1        .    444      572    0x01BC 0x0000023C
   2   CANDA0    168      968    0x00A8 0x000003C8
   3        .    124     1136    0x007C 0x00000470
   4   CBRAA0    472     1232    0x01D8 0x000004D0
   5        .    804     1704    0x0324 0x000006A8
   6   SHOTA0    644     2068    0x0284 0x00000814
   7        .    456     2712    0x01C8 0x00000A98
   8   MGUNA0    556     3052    0x022C 0x00000BEC
   9        .    736     3608    0x02E0 0x00000E18
  10   LAUNA0    636     4076    0x027C 0x00000FEC
  11        .    680     4712    0x02A8 0x00001268
  12   CSAWA0    684     5192    0x02AC 0x00001448
  13        .   1056     5876    0x0420 0x000016F4
  14   CLIPA0    100     6612    0x0064 0x000019D4
  15        .    116     6712    0x0074 0x00001A38
  16   SHELA0    148     6776    0x0094 0x00001A78
  17        .    108     6924    0x006C 0x00001B0C
  18   ROCKA0    128     6968    0x0080 0x00001B38
  19        .    272     7096    0x0110 0x00001BB8
  20   STIMA0    148     7260    0x0094 0x00001C5C
  21        .    232     7408    0x00E8 0x00001CF0
  22   MEDIA0    288     7528    0x0120 0x00001D68
  23        .    576     7816    0x0240 0x00001E88
  24   ARM1A0    320     8032    0x0140 0x00001F60
  25        .    428     8352    0x01AC 0x000020A0
  26   ARM1B0    320     8592    0x0140 0x00002190
  27        .    428     8912    0x01AC 0x000022D0
  28   ARM2A0    320     9128    0x0140 0x000023A8
  29        .    428     9448    0x01AC 0x000024E8
  30   ARM2B0    320     9660    0x0140 0x000025BC
  31        .    428     9980    0x01AC 0x000026FC
  32   BAR1A0    240    10200    0x00F0 0x000027D8
  33        .    776    10440    0x0308 0x000028C8
  34   BAR1B0    240    11036    0x00F0 0x00002B1C
  35        .    776    11276    0x0308 0x00002C0C
  36   COLUA0    264    11872    0x0108 0x00002E60
  37        .    648    12136    0x0288 0x00002F68
  38   BPAKA0    228    12560    0x00E4 0x00003110
  39        .    632    12788    0x0278 0x000031F4
  40   BROKA0    548    13124    0x0224 0x00003344
  41        .   1232    13672    0x04D0 0x00003568
  42   AMMOA0    288    14092    0x0120 0x0000370C
  43        .    500    14380    0x01F4 0x0000382C
  44   SBOXA0    328    14528    0x0148 0x000038C0
  45        .    432    14856    0x01B0 0x00003A08
  46   ELECA0    480    15100    0x01E0 0x00003AFC
  47        .   3952    15580    0x0F70 0x00003CDC
  48   BKEYA0    148    18024    0x0094 0x00004668
  49        .    228    18172    0x00E4 0x000046FC
  50   BKEYB0    148    18368    0x0094 0x000047C0
  51        .    228    18516    0x00E4 0x00004854
  52   YKEYA0    148    18712    0x0094 0x00004918
  53        .    228    18860    0x00E4 0x000049AC
  54   YKEYB0    148    19044    0x0094 0x00004A64
  55        .    228    19192    0x00E4 0x00004AF8
  56   RKEYA0    148    19376    0x0094 0x00004BB0
  57        .    228    19524    0x00E4 0x00004C44
  58   RKEYB0    148    19716    0x0094 0x00004D04
  59        .    228    19864    0x00E4 0x00004D98
  60   SUITA0    276    20056    0x0114 0x00004E58
  61        .    920    20332    0x0398 0x00004F6C
  62   PVISA0    288    21000    0x0120 0x00005208
  63        .    400    21288    0x0190 0x00005328
  64   PVISB0    288    21552    0x0120 0x00005430
  65        .    400    21840    0x0190 0x00005550
  66   BEXPA0    240    22120    0x00F0 0x00005668
  67        .    776    22360    0x0308 0x00005758
  68   BEXPB0    240    22956    0x00F0 0x000059AC
  69        .    756    23196    0x02F4 0x00005A9C
  70   BEXPC0    444    23784    0x01BC 0x00005CE8
  71        .   1280    24228    0x0500 0x00005EA4
  72   BEXPD0    664    25432    0x0298 0x00006358
  73        .   2248    26096    0x08C8 0x000065F0
  74   BEXPE0   1164    28240    0x048C 0x00006E50
  75        .   2716    29404    0x0A9C 0x000072DC
  76   PMAPA0    288    31184    0x0120 0x000079D0
  77        .    800    31472    0x0320 0x00007AF0
  78   PMAPB0    288    31888    0x0120 0x00007C90
  79        .    800    32176    0x0320 0x00007DB0
  80   PMAPC0    288    32600    0x0120 0x00007F58
  81        .    800    32888    0x0320 0x00008078
  82   PMAPD0    288    33340    0x0120 0x0000823C
  83        .    800    33628    0x0320 0x0000835C
  84   PINSA0    260    34088    0x0104 0x00008528
  85        .    540    34348    0x021C 0x0000862C
  86   PINSB0    260    34768    0x0104 0x000087D0
  87        .    540    35028    0x021C 0x000088D4
  88   PINSC0    260    35424    0x0104 0x00008A60
  89        .    540    35684    0x021C 0x00008B64
  90   PINSD0    260    36076    0x0104 0x00008CEC
  91        .    540    36336    0x021C 0x00008DF0
  92   BON1A0    148    36732    0x0094 0x00008F7C
  93        .    188    36880    0x00BC 0x00009010
  94   BON1B0    148    37040    0x0094 0x000090B0
  95        .    188    37188    0x00BC 0x00009144
  96   BON1C0    148    37352    0x0094 0x000091E8
  97        .    188    37500    0x00BC 0x0000927C
  98   BON1D0    148    37676    0x0094 0x0000932C
  99        .    188    37824    0x00BC 0x000093C0
 100   SOULA0    260    37992    0x0104 0x00009468
 101        .    540    38252    0x021C 0x0000956C
 102   SOULB0    260    38588    0x0104 0x000096BC
 103        .    540    38848    0x021C 0x000097C0
 104   SOULC0    260    39196    0x0104 0x0000991C
 105        .    540    39456    0x021C 0x00009A20
 106   SOULD0    260    39796    0x0104 0x00009B74
 107        .    540    40056    0x021C 0x00009C78
 108   BON2A0    168    40408    0x00A8 0x00009DD8
 109        .    236    40576    0x00EC 0x00009E80
 110   BON2B0    168    40776    0x00A8 0x00009F48
 111        .    236    40944    0x00EC 0x00009FF0
 112   BON2C0    168    41144    0x00A8 0x0000A0B8
 113        .    236    41312    0x00EC 0x0000A160
 114   BON2D0    168    41512    0x00A8 0x0000A228
 115        .    236    41680    0x00EC 0x0000A2D0
 116   POL1A0    540    41880    0x021C 0x0000A398
 117        .   1152    42420    0x0480 0x0000A5B4
 118   POL2A0    544    43428    0x0220 0x0000A9A4
 119        .    792    43972    0x0318 0x0000ABC4
 120   POL4A0    448    44824    0x01C0 0x0000AF18
 121        .    500    45272    0x01F4 0x0000B0D8
 122   COL2A0    400    45776    0x0190 0x0000B2D0
 123        .   1188    46176    0x04A4 0x0000B460
 124   COL4A0    400    46968    0x0190 0x0000B778
 125        .   1188    47368    0x04A4 0x0000B908
 126   FSKUA0    344    48160    0x0158 0x0000BC20
 127        .    732    48504    0x02DC 0x0000BD78
 128   FSKUB0    344    49052    0x0158 0x0000BF9C
 129        .    732    49396    0x02DC 0x0000C0F4
 130   FSKUC0    344    49940    0x0158 0x0000C314
 131        .    732    50284    0x02DC 0x0000C46C
 132   TRE1A0    692    50828    0x02B4 0x0000C68C
 133        .   1584    51520    0x0630 0x0000C940
 134   SMITA0    560    52692    0x0230 0x0000CDD4
 135        .   1016    53252    0x03F8 0x0000D004
 136   SMT2A0    300    53848    0x012C 0x0000D258
 137        .    708    54148    0x02C4 0x0000D384
 138   BSKUA0    140    54556    0x008C 0x0000D51C
 139        .    208    54696    0x00D0 0x0000D5A8
 140   BSKUB0    140    54840    0x008C 0x0000D638
 141        .    208    54980    0x00D0 0x0000D6C4
 142   RSKUA0    140    55120    0x008C 0x0000D750
 143        .    208    55260    0x00D0 0x0000D7DC
 144   RSKUB0    140    55412    0x008C 0x0000D874
 145        .    208    55552    0x00D0 0x0000D900
 146   YSKUA0    140    55704    0x008C 0x0000D998
 147        .    208    55844    0x00D0 0x0000DA24
 148   YSKUB0    140    55988    0x008C 0x0000DAB4
 149        .    208    56128    0x00D0 0x0000DB40
 150   PLASA0    588    56268    0x024C 0x0000DBCC
 151        .    656    56856    0x0290 0x0000DE18
 152   BFUGA0    720    57248    0x02D0 0x0000DFA0
 153        .   1184    57968    0x04A0 0x0000E270
 154   CELLA0    180    58804    0x00B4 0x0000E5B4
 155        .    232    58984    0x00E8 0x0000E668
 156   PSTRA0    288    59140    0x0120 0x0000E704
 157        .    576    59428    0x0240 0x0000E824
 158   CELPA0    328    59652    0x0148 0x0000E904
 159        .    716    59980    0x02CC 0x0000EA4C
 160   GOR5A0    152    60348    0x0098 0x0000EBBC
 161        .    460    60500    0x01CC 0x0000EC54
 162   SMRTA0    272    60996    0x0110 0x0000EE44
 163        .    552    61268    0x0228 0x0000EF54
 164   SMRTB0    232    61728    0x00E8 0x0000F120
 165        .    508    61960    0x01FC 0x0000F208
 166   SMRTC0    228    62424    0x00E4 0x0000F3D8
 167        .    488    62652    0x01E8 0x0000F4BC
 168   SMRTD0    260    63076    0x0104 0x0000F664
 169        .    520    63336    0x0208 0x0000F768
 170   SMBTA0    272    63784    0x0110 0x0000F928
 171        .    552    64056    0x0228 0x0000FA38
 172   SMBTB0    232    64412    0x00E8 0x0000FB9C
 173        .    508    64644    0x01FC 0x0000FC84
 174   SMBTC0    228    65024    0x00E4 0x0000FE00
 175        .    488    65252    0x01E8 0x0000FEE4
 176   SMBTD0    260    65612    0x0104 0x0001004C
 177        .    520    65872    0x0208 0x00010150
 178   SMGTA0    272    66240    0x0110 0x000102C0
 179        .    548    66512    0x0224 0x000103D0
 180   SMGTB0    232    66904    0x00E8 0x00010558
 181        .    508    67136    0x01FC 0x00010640
 182   SMGTC0    228    67540    0x00E4 0x000107D4
 183        .    488    67768    0x01E8 0x000108B8
 184   SMGTD0    260    68152    0x0104 0x00010A38
 185        .    520    68412    0x0208 0x00010B3C
 186   PINVA0    260    68816    0x0104 0x00010CD0
 187        .    540    69076    0x021C 0x00010DD4
 188   PINVB0    260    69404    0x0104 0x00010F1C
 189        .    540    69664    0x021C 0x00011020
 190   PINVC0    260    69996    0x0104 0x0001116C
 191        .    540    70256    0x021C 0x00011270
 192   PINVD0    260    70592    0x0104 0x000113C0
 193        .    540    70852    0x021C 0x000114C4
 194   FCANA0    468    71196    0x01D4 0x0001161C
 195        .   1128    71664    0x0468 0x000117F0
 196   FCANB0    440    72396    0x01B8 0x00011ACC
 197        .   1172    72836    0x0494 0x00011C84
 198   FCANC0    452    73580    0x01C4 0x00011F6C
 199        .   1172    74032    0x0494 0x00012130
 200   IFOGA0    580    74768    0x0244 0x00012410
 201        .   1020    75348    0x03FC 0x00012654
 202   IFOGB0    500    75892    0x01F4 0x00012874
 203        .    728    76392    0x02D8 0x00012A68
 204   IFOGC0    212    76812    0x00D4 0x00012C0C
 205        .    248    77024    0x00F8 0x00012CE0
 206   IFOGD0    100    77220    0x0064 0x00012DA4
 207        .     72    77320    0x0048 0x00012E08
 208   IFOGE0     40    77384    0x0028 0x00012E48
 209        .     16    77424    0x0010 0x00012E70
 210   PUNGA0    580    77444    0x0244 0x00012E84
 211        .   1148    78024    0x047C 0x000130C8
 212   PUNGB0    408    78948    0x0198 0x00013464
 213        .   1016    79356    0x03F8 0x000135FC
 214   PUNGC0    560    80224    0x0230 0x00013960
 215        .   1696    80784    0x06A0 0x00013B90
 216   PUNGD0    752    82176    0x02F0 0x00014100
 217        .   2836    82928    0x0B14 0x000143F0
 218   PISGA0    308    84992    0x0134 0x00014C00
 219        .   1108    85300    0x0454 0x00014D34
 220   PISGB0    420    86384    0x01A4 0x00015170
 221        .   1600    86804    0x0640 0x00015314
 222   PISGC0    356    88284    0x0164 0x000158DC
 223        .   1596    88640    0x063C 0x00015A40
 224   PISGD0    328    90076    0x0148 0x00015FDC
 225        .   1588    90404    0x0634 0x00016124
 226   PISGE0    412    91796    0x019C 0x00016694
 227        .   2164    92208    0x0874 0x00016830
 228   PISFA0    244    94016    0x00F4 0x00016F40
 229        .    548    94260    0x0224 0x00017034
 230   SHTGA0    644    94800    0x0284 0x00017250
 231        .   3172    95444    0x0C64 0x000174D4
 232   SHTGB0    832    97456    0x0340 0x00017CB0
 233        .   6048    98288    0x17A0 0x00017FF0
 234   SHTGC0    640   101752    0x0280 0x00018D78
 235        .   6240   102392    0x1860 0x00018FF8
 236   SHTGD0    728   105016    0x02D8 0x00019A38
 237        .   6584   105744    0x19B8 0x00019D10
 238   SHTFA0    248   108756    0x00F8 0x0001A8D4
 239        .    412   109004    0x019C 0x0001A9CC
 240   SHTFB0    308   109376    0x0134 0x0001AB40
 241        .    628   109684    0x0274 0x0001AC74
 242   MISGA0    464   110228    0x01D0 0x0001AE94
 243        .   2676   110692    0x0A74 0x0001B064
 244   MISGB0    572   111972    0x023C 0x0001B564
 245        .   2908   112544    0x0B5C 0x0001B7A0
 246   MISFA0    280   114264    0x0118 0x0001BE58
 247        .    632   114544    0x0278 0x0001BF70
 248   MISFB0    388   115040    0x0184 0x0001C160
 249        .   1348   115428    0x0544 0x0001C2E4
 250   MISFC0    748   116556    0x02EC 0x0001C74C
 251        .   1924   117304    0x0784 0x0001CA38
 252   MISFD0   1240   118600    0x04D8 0x0001CF48
 253        .   1548   119840    0x060C 0x0001D420
 254   PLSGA0    428   120508    0x01AC 0x0001D6BC
 255        .   1932   120936    0x078C 0x0001D868
 256   PLSGB0    556   122060    0x022C 0x0001DCCC
 257        .   4432   122616    0x1150 0x0001DEF8
 258   PLSFA0    508   126120    0x01FC 0x0001ECA8
 259        .   2132   126628    0x0854 0x0001EEA4
 260   PLSFB0    564   127928    0x0234 0x0001F3B8
 261        .   2316   128492    0x090C 0x0001F5EC
 262   SAWGA0    844   129948    0x034C 0x0001FB9C
 263        .   2784   130792    0x0AE0 0x0001FEE8
 264   SAWGB0    844   132644    0x034C 0x00020624
 265        .   2784   133488    0x0AE0 0x00020970
 266   SAWGC0    936   135344    0x03A8 0x000210B0
 267        .   3312   136280    0x0CF0 0x00021458
 268   SAWGD0    932   138284    0x03A4 0x00021C2C
 269        .   3368   139216    0x0D28 0x00021FD0
 270   CHGGA0    584   141260    0x0248 0x000227CC
